Tactic ,Technique,Procedure,Indicator
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,157 accounts
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,19 Pages
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,1 group
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.2 Acquiring Instagram accounts,17 accounts
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,www.youtube[.]com/watch?v=FXCzsTm4GHU&t=2s
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,www.tiktok[.]com/@user8101771158572
,,,
1. Disguising assets,1.1 Adopting visual disguise,1.1.2 Using profile pictures like created using generative adversarial networks (GAN),"Using profile photos likely generated using artificial intelligence such as Generative Adversarial Networks (GAN)
"
1. Disguising assets,1.2 Posing as non-existent person,1.2.8 Posing as fictional person in target region,"We found three separate clusters of accounts where each targeted a particular country while posing as locals.
"
,,,
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.1 Amplifying with likely fake accounts on Facebook,"The people behind this activity used fake accounts – many of which were detected by our automated systems – to post content, manage Pages, and reach out to others.
"
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.2 Amplifying with likely fake accounts on Instagram,
,,,
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.2 Acquiring Page followers,"About 7,800 accounts followed one or more of these Pages"
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.3 Acquiring Group members,Around 25 users joined the Group
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.4 Acquiring Instagram followers,About 700 users followed one or more of these Instagram accounts
7. Targeted engagement,7.3 Engaging with specific audience,7.3.4  Utilising Language-Specific Campaigns,"These three clusters reposted other people’s and their own content in English, Burmese, Mandarin, and Japanese about news and current events in each country they targeted."
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.1 Posting negative content about named individuals or institutions,"In Myanmar, they posted about the need to end the ongoing conflict, criticized the civil resistance movements and shared supportive commentary about the military junta"
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.1 Posting negative content about named individuals or institutions,"In Japan, the campaign criticized Japan's government and its military ties with the US."
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.1 Posting negative content about named individuals or institutions,"In Taiwan, they posted claims that Taiwanese politicians and military leaders are corrupt."
